distance_km,bin_min,bin_max,n_pairs,metric_1_cos_mean,metric_2_re_complex_mean,metric_3_vector_strength,phase_circular_std,magnitude_mean,magnitude_std,magnitude_cv,mean_phase_coherence
168.00041301602644,156.44048462064958,180.41454449591998,18,-0.20799861790135094,-0.2079986179013509,0.33147136927045234,1.4860779523930572,1.0175465877212602,0.0010427941287697038,0.001024812172094237,0.11552107365838706
193.74599908016447,180.41454449591998,208.0625609451348,13,0.2064024140109176,0.20640241401091758,0.23379143387516715,1.7048905356658994,1.0112983168530365,0.0030384836936878773,0.003004537477272826,0.23918099431687925
223.4370230744027,208.0625609451348,239.94755737682155,29,0.21210076316111606,0.2121007631611161,0.2247013479130042,1.727994850157885,1.006458472692819,0.003464654950187966,0.0034424221606661485,0.20574726873375265
257.6781121539162,239.94755737682155,276.7188389375125,42,0.23755144491699134,0.2375514449169913,0.30080821931796775,1.550020878839704,0.9986741424222766,0.0033090222675666984,0.003313415384462333,0.2526472435836037
297.1665508678758,276.7188389375125,319.1252149429954,56,0.11658604673411864,0.11658604673411858,0.11674871108005247,2.072549841375894,0.991811866189307,0.0023575556998842347,0.0023770190499356743,0.21429718368914757
342.70648064187037,319.1252149429954,368.0302476095977,60,0.19003385409519022,0.19003385409519022,0.19645154803975132,1.8040728660110803,0.983167221274373,0.002954092125079136,0.0030046690544158574,0.24348998258009102
395.22527529067537,368.0302476095977,424.42983761021867,82,0.08140039717291388,0.08140039717291389,0.14833267122574878,1.9536108871218987,0.9738600137266817,0.003128121309510414,0.0032120851718102634,0.19294858944425716
455.79242603183457,424.42983761021867,489.4725045668741,96,0.24263546619364385,0.24263546619364385,0.24451720102662775,1.678373987342891,0.9622589384428882,0.0034987197908234137,0.0036359441840935094,0.230024234622046
525.6413205739298,489.4725045668741,564.4827754711101,109,0.20128900900317379,0.20128900900317379,0.21188186415011265,1.7616619449846362,0.9501137205557183,0.004327377050146787,0.004554588526114242,0.19496192632040127
606.1943597882575,564.4827754711101,650.9881573134066,147,0.2991250671166804,0.2991250671166804,0.31144626971811357,1.5274347413221645,0.9353144517544235,0.004461257677379445,0.004769794446147181,0.24007204316495379
699.0919234390966,650.9881573134066,750.7502431914219,194,0.08645457722654255,0.08645457722654255,0.09831004291827508,2.1538937258104327,0.9198415379513014,0.004989248518516749,0.00542403045814712,0.20612488497525364
806.225774829855,750.7502431914219,865.8005853409587,221,0.023946324720304245,0.02394632472030425,0.053835639443166564,2.417362028307509,0.9011159528817527,0.006375266281507148,0.00707485674969926,0.20325889680559528
929.7775846163481,865.8005853409587,998.4820656070234,338,0.1331800479006142,0.1331800479006142,0.13891788902077373,1.986893176226806,0.8806121656318088,0.006868010615741144,0.007799132108075731,0.19197582770465327
1072.263358285029,998.4820656070234,1151.4966058220616,371,0.01661258073444816,0.016612580734448167,0.039796691427591936,2.5392800161097764,0.8554967737905179,0.007331996869627526,0.00857045531234567,0.2042591228417932
1236.5846720160575,1151.4966058220616,1327.9601896641245,427,0.043673928972218196,0.04367392897221817,0.0656056305624911,2.3341352809852887,0.8304460587288083,0.007952779781038284,0.009576515774199558,0.2084056967622888
1426.0877602968364,1327.9601896641245,1531.4663164584997,426,0.12620161037265668,0.12620161037265668,0.1264877553090991,2.0335239223943717,0.8021505335072866,0.008947592456665678,0.011154505398810409,0.20006638332103946
1644.6316585444767,1531.4663164584997,1766.1591790941961,545,0.15478987843611391,0.1547898784361139,0.15963915758875316,1.9156405068587072,0.7689517171411968,0.010189574295570134,0.013251253711290042,0.20348866791821626
1896.6667883915889,1766.1591790941961,2036.8180562482605,661,0.14945193498016968,0.14945193498016965,0.14957367798261434,1.9493415186861083,0.7341436766290734,0.01052487025511384,0.01433625404694664,0.1741786406133815
2187.325585943888,2036.8180562482605,2348.954637478734,777,0.0926128694825773,0.0926128694825773,0.09482414493942831,2.1705903384545633,0.6949953139081924,0.01144455332808523,0.016467094236547665,0.1825735513681622
2522.5270185608265,2348.954637478734,2708.9252631116337,809,0.14502271051855842,0.14502271051855845,0.1456241680707166,1.9630212263231408,0.653804752300516,0.012884643486618556,0.01970717319089818,0.18274007228295672
2909.0971185359713,2708.9252631116337,3124.0603645718,1014,0.14065042292271512,0.14065042292271512,0.1438012212774004,1.9694280087591516,0.6077955201756186,0.012949232375447015,0.021305244848967328,0.16300333725072638
3354.9079882215055,3124.0603645718,3602.8137410767326,1200,0.062364259690222044,0.06236425969022205,0.06756134100272437,2.321516460495644,0.560573066579165,0.01431132073886875,0.025529804394995286,0.1556173145597452
3869.0381072931837,3602.8137410767326,4154.934712559709,1420,0.08763097967677612,0.08763097967677612,0.08966584028302402,2.1962082798611475,0.5109357721578878,0.014905268001847157,0.02917248862591124,0.16079381104350887
4461.957206648276,4154.934712559709,4791.666654539372,1886,0.04605236676467899,0.046052366764679,0.04997198962946365,2.4479757506721826,0.4587941319742142,0.014856250781413555,0.03238108281264706,0.15130442552279041
5145.739473703211,4791.666654539372,5525.975957894095,2289,0.022766692801488093,0.022766692801488082,0.023554373766732417,2.7380444675662745,0.4069072101057493,0.015303497963059378,0.03760930645363158,0.1532764958906661
5934.309430797424,5525.975957894095,6372.816076071348,2916,0.007765961982609221,0.007765961982609219,0.008311636785814038,3.095189404126367,0.3532881633491377,0.015305504116384512,0.043323002874734916,0.15157194507401986
6843.725493764164,6372.816076071348,7349.432036781909,3754,-0.007834232186312809,-0.007834232186312809,0.01143457540842991,2.990355692245665,0.302924969134016,0.0142275430686788,0.046967218018876614,0.1571698879634088
7892.506985046762,7349.432036781909,8475.711619246094,5503,-0.028237221664211908,-0.02823722166421191,0.02826278039006643,2.6706589151387203,0.2549219754824712,0.013161758691729591,0.05163053780208373,0.1567727399646652
9102.011260646053,8475.711619246094,9774.590348355514,6599,-0.052762917993203796,-0.0527629179932038,0.052878510504393156,2.4247714330639525,0.21192154513068653,0.012072018793114576,0.05696456575790854,0.16021018616813712
10496.868630701214,9774.590348355514,11272.518553039583,5706,-0.056507576194111134,-0.056507576194111134,0.05667306888897113,2.396020098658682,0.17260223185838702,0.01089182934654989,0.06310364141459181,0.16044175424041052
12105.483930414126,11272.518553039583,13000.000000000005,6039,-0.0453830557578947,-0.045383055757894704,0.045406827591071286,2.4868022831634065,0.1389169657459408,0.008974632606601463,0.06460429479157195,0.15768504174396344
