local_hour_bin,coherence_mean,coherence_std,sample_count
0,0.007297593768137568,0.7182897573860706,980469
1,0.007433324552894721,0.7182914134997355,942919
2,0.007682823874305196,0.7183473179273583,984166
3,0.007851179892060769,0.7172008005893376,1041862
4,0.007936566778046952,0.7182443155279215,1028637
5,0.007154613622797432,0.7185958279644089,1020468
6,0.007905655155140934,0.7221550244554201,1047808
7,0.008319685767006816,0.7184720507520763,1046684
8,0.010119346195992019,0.7184659726312752,942118
9,0.00932867221654128,0.7181205664983203,1023348
10,0.007481777712642841,0.71823277283039,1006330
11,0.0070549033097866845,0.7176822384415057,969446
12,0.007935504731355758,0.7182959441452563,1017269
13,0.007208605614568818,0.7180072684883755,1026648
14,0.006454046422118952,0.7174948808879735,1035165
15,0.006457415401897275,0.7176185611173971,1049251
16,0.0043611264076341355,0.7176377662377004,971494
17,0.0037347205726321097,0.7181234620399919,994827
18,0.005318377613785625,0.7193867113863728,1027313
19,0.007075902940849256,0.7194555149232739,957982
20,0.007827854948421212,0.7189457555765043,968293
21,0.006898967947529364,0.7177724188286979,1011926
22,0.00677965958229288,0.718019575105104,1011839
23,0.005511754066614591,0.7192098457772722,1026764
